year,round_no,circuit,race,Type,filename
2023,19,Mexico City,Mexico City Grand Prix,Race,driver_lines/driver_lines_2023_R19.csv
2023,20,Interlagos,São Paulo Grand Prix,Race,driver_lines/driver_lines_2023_R20.csv
2023,20,Interlagos,São Paulo Grand Prix,Sprint,driver_lines/driver_lines_2023_S20.csv
2023,21,Las Vegas,Las Vegas Grand Prix,Race,driver_lines/driver_lines_2023_R21.csv
2023,22,Yas Marina Circuit,Abu Dhabi Grand Prix,Race,driver_lines/driver_lines_2023_R22.csv
2022,1,Sakhir,Bahrain Grand Prix,Race,driver_lines/driver_lines_2022_R1.csv
2022,2,Jeddah,Saudi Arabian Grand Prix,Race,driver_lines/driver_lines_2022_R2.csv
2022,3,Melbourne,Australian Grand Prix,Race,driver_lines/driver_lines_2022_R3.csv
2022,4,Imola,Emilia Romagna Grand Prix,Race,driver_lines/driver_lines_2022_R4.csv
2022,4,Imola,Emilia Romagna Grand Prix,Sprint,driver_lines/driver_lines_2022_S4.csv
2022,5,Miami,Miami Grand Prix,Race,driver_lines/driver_lines_2022_R5.csv
2022,6,Catalunya,Spanish Grand Prix,Race,driver_lines/driver_lines_2022_R6.csv
2022,7,Monte Carlo,Monaco Grand Prix,Race,driver_lines/driver_lines_2022_R7.csv
2022,8,Baku,Azerbaijan Grand Prix,Race,driver_lines/driver_lines_2022_R8.csv
2022,9,Montreal,Canadian Grand Prix,Race,driver_lines/driver_lines_2022_R9.csv
2022,10,Silverstone,British Grand Prix,Race,driver_lines/driver_lines_2022_R10.csv
2022,11,Spielberg,Austrian Grand Prix,Race,driver_lines/driver_lines_2022_R11.csv
2022,11,Spielberg,Austrian Grand Prix,Sprint,driver_lines/driver_lines_2022_S11.csv
2022,12,Paul Ricard,French Grand Prix,Race,driver_lines/driver_lines_2022_R12.csv
2022,13,Hungaroring,Hungarian Grand Prix,Race,driver_lines/driver_lines_2022_R13.csv
2022,14,Spa-Francorchamps,Belgian Grand Prix,Race,driver_lines/driver_lines_2022_R14.csv
2022,15,Zandvoort,Dutch Grand Prix,Race,driver_lines/driver_lines_2022_R15.csv
2022,16,Monza,Italian Grand Prix,Race,driver_lines/driver_lines_2022_R16.csv
2022,17,Singapore,Singapore Grand Prix,Race,driver_lines/driver_lines_2022_R17.csv
2022,18,Suzuka,Japanese Grand Prix,Race,driver_lines/driver_lines_2022_R18.csv
2022,19,Austin,United States Grand Prix,Race,driver_lines/driver_lines_2022_R19.csv
2022,20,Mexico City,Mexico City Grand Prix,Race,driver_lines/driver_lines_2022_R20.csv
2022,21,Interlagos,São Paulo Grand Prix,Race,driver_lines/driver_lines_2022_R21.csv
2022,21,Interlagos,São Paulo Grand Prix,Sprint,driver_lines/driver_lines_2022_S21.csv
2022,22,Yas Marina Circuit,Abu Dhabi Grand Prix,Race,driver_lines/driver_lines_2022_R22.csv
2021,1,Sakhir,Bahrain Grand Prix,Race,driver_lines/driver_lines_2021_R1.csv
2021,2,Imola,Emilia Romagna Grand Prix,Race,driver_lines/driver_lines_2021_R2.csv
2021,3,Algarve International Circuit,Portuguese Grand Prix,Race,driver_lines/driver_lines_2021_R3.csv
2021,4,Catalunya,Spanish Grand Prix,Race,driver_lines/driver_lines_2021_R4.csv
2021,5,Monte Carlo,Monaco Grand Prix,Race,driver_lines/driver_lines_2021_R5.csv
2021,6,Baku,Azerbaijan Grand Prix,Race,driver_lines/driver_lines_2021_R6.csv
2021,7,Paul Ricard,French Grand Prix,Race,driver_lines/driver_lines_2021_R7.csv
2021,8,Spielberg,Styrian Grand Prix,Race,driver_lines/driver_lines_2021_R8.csv
2021,9,Spielberg,Austrian Grand Prix,Race,driver_lines/driver_lines_2021_R9.csv
2021,10,Silverstone,British Grand Prix,Race,driver_lines/driver_lines_2021_R10.csv
2021,10,Silverstone,British Grand Prix,Sprint,driver_lines/driver_lines_2021_S10.csv
