SAI,-11.605000000000018,-14.481999999999971,-17.271999999999935,-19.123999999999796,-21.097999999999956,-23.80600000000004,-26.55099999999993,-29.228999999999814,-31.917999999999665,-33.51599999999962,-35.44200000000001,-38.30600000000004,-41.17000000000007,-43.27500000000009,-44.952999999999975,-46.36700000000019,-47.797999999999774
GAS,-8.480000000000018,-11.901999999999589,-14.827999999999975,-17.272999999999683,-19.747999999999593,-22.69300000000021,-25.572000000000116,-28.18899999999985,-30.460999999999785,-32.66899999999987,-34.996999999999844,-37.86200000000008,-41.452000000000226,-44.077000000000226,-46.10500000000002,-47.485999999999876,-48.76299999999992
RAI,-9.32400000000007,-12.77099999999973,-15.461999999999989,-18.259000000000015,-20.649999999999636,-23.37900000000036,-26.19300000000021,-29.028999999999996,-33.00999999999976,-35.778999999999996,-38.17599999999993,-40.11400000000003,-42.416999999999916,-45.08800000000019,-47.09400000000005,-48.847999999999956,-50.67699999999968
STR,-9.955999999999676,-13.51299999999992,-16.324999999999818,-19.924999999999727,-22.64099999999962,-25.315000000000055,-27.97499999999991,-30.75799999999981,-33.998999999999796,-36.75799999999981,-39.23700000000008,-41.246000000000095,-43.67099999999982,-46.307000000000244,-48.48000000000002,-50.35199999999986,-52.17900000000009
GIO,-10.416999999999916,-14.174999999999727,-17.46499999999969,-20.678999999999633,-23.622999999999593,-26.51800000000003,-29.047000000000025,-31.93100000000004,-35.12599999999975,-37.75999999999976,-40.391999999999825,-42.69999999999982,-45.13200000000006,-47.57600000000002,-49.766999999999825,-51.55199999999968,-53.224999999999454
TSU,-11.13299999999981,-15.830999999999676,-19.121999999999844,-22.001999999999953,-24.315999999999804,-27.052000000000135,-29.8420000000001,-32.235999999999876,-35.69200000000001,-38.42599999999993,-40.972999999999956,-43.23900000000003,-45.94200000000001,-48.19900000000007,-50.21399999999994,-52.05699999999979,-53.56700000000001
LAT,-10.743999999999687,-15.365999999999985,-18.60199999999986,-21.562999999999647,-25.82199999999966,-28.74900000000025,-31.269000000000233,-33.9079999999999,-36.75099999999975,-39.67699999999968,-42.36400000000003,-45.003000000000156,-47.38500000000022,-50.38799999999992,-52.391000000000076,-53.814000000000306,-55.16200000000026
MSC,-12.394999999999982,-16.990999999999985,-20.493999999999687,-23.69900000000007,-27.878999999999905,-32.38100000000031,-36.78800000000001,-41.5329999999999,-45.222999999999956,-48.879999999999654,-51.93899999999985,-55.42300000000023,-58.54300000000012,-61.80300000000034,-63.89400000000023,-66.17699999999968,-68.21299999999974
MAZ,-19.366999999999734,-22.667999999999665,-25.705999999999676,-28.935999999999694,-32.57899999999972,-36.259000000000015,-40.33899999999994,-44.39800000000014,-48.06299999999965,-51.48999999999978,-55.508000000000266,-59.30000000000018,-63.28200000000015,-67.3430000000003,-71.07499999999982,-74.55199999999968,-77.64800000000014
PER,-5.739000000000033,-8.468999999999596,-10.547000000000025,-12.70199999999977,-29.742999999999938,-31.009000000000015,-32.646999999999935,-34.684999999999945,-37.52299999999968,-40.59999999999991,-43.13500000000022,-45.641999999999825,-48.134000000000015,-51.13799999999992,-53.3420000000001,-61.65800000000036
