NOR,-6.801000000000002,-9.304000000000002,-11.509000000000015,-13.686000000000035,-15.563999999999965,-17.611999999999966,-19.664999999999964,-21.158999999999992,-23.383000000000038,-26.096000000000004,-27.16599999999994,-27.80600000000004,-27.753000000000156,-29.452999999999975,-30.884000000000015,-38.96100000000001,-17.66599999999994,-20.322999999999865,-23.133000000000038,-25.25499999999988,-27.82899999999995,-30.268999999999778,-32.69599999999991,-35.008000000000266,-38.28200000000015,-41.746000000000095,-44.75,-47.47200000000021,-53.85699999999997,-75.98199999999997,-78.07600000000002,-79.3130000000001,-82.529,-84.70200000000023,-86.55700000000024,-88.29300000000012,-89.78700000000026,-93.96900000000005,-96.21600000000035,-98.08300000000008,-101.99500000000035,-103.82799999999997,-62.72499999999991
HAM,-1.5220000000000056,-1.4519999999999982,-1.406000000000006,-1.7070000000000505,-1.7969999999999686,-1.768000000000029,-1.8500000000000227,-1.5879999999999654,-1.2980000000000018,-1.4080000000000155,-1.372000000000071,-1.1189999999999145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VET,-9.968000000000004,-14.007000000000005,-16.94599999999997,-19.17900000000003,-21.24599999999998,-23.940000000000055,-26.476999999999975,-29.477999999999952,-31.880999999999972,-34.39200000000005,-47.57999999999993,-70.92399999999998,-70.84500000000003,-71.66999999999985,-76.73699999999985,-80.12300000000005,-57.817999999999984,-60.437999999999874,-63.037000000000035,-65.3119999999999,-68.20800000000008,-70.70699999999988,-73.29500000000007,-75.50600000000031,-77.75600000000031,-80.1289999999999,-82.19500000000016,-84.15700000000015,-86.39100000000008,-89.0909999999999,-92.7760000000003,-94.33300000000008,-98.24399999999969,-101.55299999999988,-104.19799999999987,-106.58000000000038,-107.95100000000002,-109.75199999999995,-113.48600000000033,-117.63400000000001,-124.596,-146.45599999999968,-146.40099999999984,-175.62699999999995,-190.34199999999964,-156.01200000000063,-92.32999999999993,-49.54100000000017,-6.1599999999998545,-10.96100000000024,-15.738999999999578,-20.282000000000153,-22.998000000000502,-24.838000000000648,-27.884000000000015,-30.014000000000124,-32.21600000000035,-35.240999999999985,-37.88100000000031,-40.793000000000575
SAI,-8.350000000000009,-11.536000000000001,-14.033000000000015,-16.212000000000046,-18.58699999999999,-21.086000000000013,-23.91999999999996,-25.857999999999947,-27.586000000000013,-29.609000000000037,-31.541999999999916,-33.42900000000009,-34.45900000000006,-36.5,-38.664999999999964,-48.27300000000014,-25.69399999999996,-29.01299999999992,-32.059999999999945,-35.12999999999988,-38.38300000000004,-41.13199999999961,-43.98700000000008,-46.45400000000018,-48.863000000000284,-51.41899999999987,-53.81600000000026,-59.50199999999995,-79.74099999999999,-80.60899999999992,-81.08000000000038,-80.78999999999996,-81.22599999999966,-82.47299999999996,-83.86700000000019,-84.07200000000012,-84.55099999999993,-85.05999999999995,-85.55500000000029,-86.62300000000005,-87.10699999999997,-87.45599999999968,-88.17200000000003,-101.85100000000011,-125.55000000000018,-71.0,-11.759000000000015,-4.505000000000109,-2.229000000000269,-4.199999999999818,-6.605999999999767,-8.712999999999738,-10.585000000000036,-11.523000000000138,-13.314000000000306,-14.882000000000517,-16.343000000000757,-18.702000000000226,-20.24200000000019,-21.88799999999992
LAT,-12.91000000000001,-18.294999999999987,-21.59899999999999,-24.78200000000004,-27.864999999999952,-30.840000000000032,-33.66399999999999,-36.327,-40.37900000000002,-43.38499999999999,-46.309999999999945,-49.19399999999996,-51.30300000000011,-57.26499999999987,-86.20100000000002,-88.50900000000001,-65.80400000000009,-68.03199999999993,-70.971,-73.51599999999985,-76.72399999999993,-79.42200000000003,-81.94500000000016,-84.32200000000012,-86.6579999999999,-89.16399999999976,-93.154,-96.85100000000011,-99.25700000000006,-102.07200000000012,-105.72400000000016,-108.22299999999996,-114.49499999999989,-135.97800000000007,-136.77100000000019,-137.42100000000028,-137.91400000000021,-138.43499999999995,-139.16100000000006,-140.23500000000013,-140.913,-142.25900000000001,-143.77400000000034,-173.68700000000035,-187.8139999999994,-153.1900000000005,-90.98199999999997,-48.64300000000003,-5.731999999999971,-10.435999999999694,-15.126999999999498,-19.791000000000167,-26.063000000000102,-29.165000000000873,-33.95499999999993,-37.514000000000124,-42.3720000000003,-46.746000000000095,-50.478000000000065,-54.4320000000007
RUS,-11.786000000000001,-17.002999999999986,-20.27600000000001,-23.380000000000052,-26.026999999999987,-28.57299999999998,-31.25400000000002,-34.29899999999998,-37.10400000000004,-40.426000000000045,-48.07999999999993,-70.83899999999994,7.492999999999938
RAI,-13.290000000000006,-18.747000000000014,-22.476999999999975,-25.54000000000002,-28.310000000000002,-31.524,-34.533000000000015,-37.42100000000005,-41.057000000000016,-47.548,-68.59400000000005,-71.26499999999987,-72.08300000000008,-72.46299999999997,-77.89300000000003,-80.72199999999998,-60.44900000000007,-62.56399999999985,-64.75800000000004,-66.96000000000004,-69.71399999999994,-71.9409999999998,-74.22900000000027,-76.29400000000032,-78.44599999999991,-80.79700000000003,-83.01600000000008,-84.97600000000011,-87.1210000000001,-89.846,-93.529,-95.09799999999996,-98.6869999999999,-101.93100000000004,-105.11599999999999,-107.43600000000015,-109.40300000000025,-113.84000000000015,-117.70500000000038,-120.05799999999999,-122.23300000000017,-124.3489999999997,-126.76400000000012,-152.18600000000015,-192.69899999999961,-157.65400000000045,-94.5659999999998,-52.23899999999958,-6.550999999999476,-11.423999999999978,-16.310999999999694,-20.65599999999995,-24.949999999999818,-26.16900000000078,-28.942000000000007,-30.691000000000713,-32.89600000000064,-35.978000000000065,-38.30999999999949,-41.45900000000074
BOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.713000000000193,-26.587999999999965,-26.842999999999847,-34.090000000000146,-20.40300000000002,-45.69399999999996
GRO,-13.866,-19.36099999999999,-23.16300000000001,-26.446000000000026,-29.016999999999996,-31.979000000000042,-35.19799999999998,-38.464000000000055,-41.36299999999994,-45.31600000000003,-48.511999999999944,-50.29099999999994,-52.600000000000136,-56.187999999999874,-58.58199999999988,-66.63599999999997,-45.27099999999996,-48.702,-51.850999999999885,-54.812999999999874,-58.159000000000106,-61.358999999999924,-64.64499999999998,-67.4390000000003,-70.31700000000001,-73.67799999999988,-76.61700000000019,-82.69300000000021,-105.86499999999978,-106.73300000000017,-107.47500000000036,-108.61900000000014,-109.53899999999976,-110.83300000000008,-112.34700000000021,-114.32000000000016,-115.375,-116.99400000000014,-118.93700000000035,-120.8489999999997,-122.98700000000008,-125.59699999999975,-127.68100000000004,-152.70600000000059,-167.4389999999994,-146.40500000000065,-80.46300000000065,-35.050999999999476,-3.738999999999578,-8.04699999999957,-12.35399999999936,-15.850999999999658,-19.728000000000065,-21.9970000000003,-24.63000000000011,-27.119000000000597,-29.869000000000597,-33.34199999999964,-35.939000000000306,-39.064000000000306
GIO,-9.319000000000003,-13.038999999999987,-15.909999999999968,-18.128000000000043,-20.68399999999997,-23.279999999999973,-25.925000000000068,-28.724000000000046,-31.264999999999986,-33.903999999999996,-37.07099999999991,-39.86699999999996,-42.348000000000184,-47.00499999999988,-54.28800000000001,-78.24800000000005,-56.6400000000001,-59.09500000000003,-61.521999999999935,-63.79399999999987,-66.62799999999993,-69.06399999999985,-71.56800000000021,-73.94000000000005,-76.11500000000024,-78.61099999999988,-80.57700000000023,-82.46799999999985,-84.9090000000001,-87.76099999999997,-89.80300000000034,-93.35800000000017,-95.79499999999962,-100.73900000000003,-103.31500000000005,-108.76700000000028,-130.26000000000022,-130.14600000000019,-130.73600000000033,-131.33899999999994,-131.91800000000012,-132.6189999999997,-133.67200000000048,-159.47700000000032,-174.03699999999935,-150.02700000000004,-87.76900000000023,-41.185999999999694,-4.662000000000262,-8.706000000000131,-13.023000000000138,-17.076000000000022,-20.83600000000024,-23.34400000000005,-25.997999999999593,-28.550000000000182,-31.088000000000648,-34.48700000000008,-37.10899999999947,-40.01800000000003
