OCO,-9.113999999999976,-13.091000000000008,-16.394000000000005,-19.368000000000052,-21.701000000000022,-23.508000000000038,-25.575000000000045,-28.057000000000016,-30.286000000000058,-33.31000000000017,-35.01999999999998,-36.621000000000095,-38.62300000000005,-41.03899999999999,-43.7829999999999,-46.124000000000024,-48.723000000000184,-50.98299999999995,-52.51999999999998,-54.480999999999995,-56.823999999999614,-61.79599999999982,-64.13299999999981,-66.10600000000022,-67.15999999999985,-80.86999999999989,-81.17599999999993,-77.15000000000009,-73.76599999999962,-75.45100000000002,-76.22499999999991,-76.9079999999999,-78.39100000000008,-80.99399999999969,-81.42900000000009,-84.26999999999998,-86.74299999999994,-89.09199999999964,-91.11299999999983,-93.04199999999992,-94.28499999999985,-95.1289999999999,-96.42999999999984,-97.66600000000017,-100.14100000000008,-99.89100000000053,-101.04299999999967,-102.58100000000013,-107.09999999999945,-115.19799999999941,-127.14500000000044,-136.03699999999935,-132.46299999999974,-110.80299999999988,-58.50700000000052,-17.20600000000013,-5.260000000000218,-8.601999999999862,-11.831000000000131,-14.166000000000167,-16.92699999999968,-19.29200000000037,-21.578999999999724,-23.688999999999396,-25.98700000000008,-29.177999999999884,-31.75
VER,-3.262999999999977,-4.137000000000057,-4.90300000000002,-5.5919999999999845,-5.8530000000000655,-6.2450000000000045,-6.301000000000045,-6.902000000000044,-7.1749999999999545,-7.473000000000184,-7.509999999999991,-7.5,-7.781999999999925,-8.240000000000009,-8.677999999999884,-9.044999999999845,-9.688000000000102,-10.224999999999909,-10.551999999999907,-10.560999999999922,-10.774999999999636,-10.894999999999982,-11.291000000000167,-11.4050000000002,-7.324999999999818,-6.135999999999967,-5.804000000000087,-1.693000000000211,-2.520999999999731,-18.282000000000153,-17.878999999999905,-17.527000000000044,-16.590999999999894,-15.600999999999658,-14.522999999999683,-13.994000000000142,-13.207999999999629,-12.349999999999909,-11.757000000000062,-12.774000000000342,-12.86999999999989,-12.228000000000065,-12.039000000000215,-11.175000000000182,-11.403999999999996,-15.952999999999975,-33.57599999999911,-44.95600000000013,-62.04899999999998,-67.05199999999968,-70.65400000000045,-76.80599999999959,-61.801000000000386,-21.74199999999928,-2.8900000000003274,-3.617000000000189,-1.8560000000006767,-3.1729999999997744,-4.711999999999534,-5.181000000000495,-6.132999999999811,-6.238000000000284,-6.787000000000262,-7.056999999999789,-7.27599999999984,-7.582999999999629,-7.653999999999542
SIR,-10.273000000000025,-14.455000000000041,-18.98100000000011,-21.932999999999993,-24.239000000000033,-27.26400000000001,-29.552999999999997,-31.630999999999858,-34.21100000000001,-36.850000000000136,-38.853000000000065,-40.73400000000015,-43.028999999999996,-45.708000000000084,-48.61500000000001,-50.95999999999981,-53.544000000000096,-55.84699999999998,-58.287000000000035,-60.58400000000006,-62.472999999999956,-64.40700000000015,-66.49699999999984,-70.221,-69.41800000000012,-71.29700000000003,-72.88700000000017,-73.61099999999988,-90.90999999999985,-92.79000000000042,-94.10399999999981,-96.96500000000015,-99.20899999999983,-100.04399999999987,-100.83999999999969,-101.6880000000001,-102.8409999999999,-103.77999999999975,-104.4069999999997,-106.15700000000015,-107.7489999999998,-108.9050000000002,-110.75300000000016,-112.9670000000001,-116.73199999999997,-117.13400000000001,-120.67499999999927,-123.91600000000017,-131.34599999999955,-143.3829999999998,-165.60800000000017
HAM,-9.238,-12.330000000000041,-14.393000000000029,-16.29200000000003,-18.567000000000007,-19.355999999999995,-21.519000000000005,-22.363000000000056,-23.201999999999998,-24.677000000000135,-24.639000000000124,-24.935000000000173,-25.884000000000015,-25.61200000000008,-26.04399999999987,-25.77299999999991,-25.79600000000005,-25.564999999999827,-24.6579999999999,-24.049999999999955,-23.285999999999603,-22.66800000000012,-21.884000000000015,-21.034000000000106,-16.018999999999778,-14.583999999999833,-13.184000000000196,-7.753000000000156,-4.337999999999738,-4.709000000000287,-4.391000000000076,-4.342999999999847,-3.8170000000000073,-3.519999999999982,-4.101999999999862,-4.508000000000266,-5.378999999999905,-5.37099999999964,-4.860999999999876,-5.432999999999993,-6.233999999999924,-10.284000000000106,-23.71900000000005,-22.89200000000028,-20.891999999999825,-19.577999999999975,-17.152999999999338,-15.811999999999898,-14.429999999999382,-12.175999999999476,-12.16399999999976,-3.45299999999952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11.902000000000044,-10.04800000000023,-4.436000000000149,-1.043999999999869,-1.4140000000002146,-1.4209999999998217,-1.3270000000002256,-1.3899999999998727,-1.2300000000000182,-1.0679999999997563,-1.3079999999999927,-1.4909999999999854,-1.231999999999971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.900000000000546
SAI,-7.411000000000001,-10.543000000000006,-13.323000000000093,-15.715000000000032,-18.033000000000015,-20.555000000000064,-22.569000000000074,-25.172000000000025,-27.287000000000035,-29.40800000000013,-30.922000000000025,-32.41300000000001,-34.78500000000008,-36.78800000000001,-38.91399999999999,-40.95699999999988,-43.25800000000004,-44.92599999999993,-45.76599999999985,-50.315000000000055,-65.529,-67.53999999999996,-69.94900000000007,-70.99400000000014,-67.63000000000011,-67.44700000000012,-67.94399999999996,-64.38099999999986,-61.52599999999984,-63.926000000000386,-65.44700000000012,-66.42700000000013,-66.88099999999986,-67.60899999999992,-68.471,-69.35899999999992,-70.6569999999997,-71.69499999999971,-72.07200000000012,-73.73399999999992,-75.15099999999984,-76.26099999999997,-79.67099999999982,-81.56500000000005,-84.29399999999987,-86.1289999999999,-89.43799999999919,-91.99499999999989,-99.07099999999991,-117.1239999999998,-145.5050000000001,-152.35299999999916,-140.53499999999985,-114.90899999999965,-67.21100000000024,-30.326000000000022,-9.807000000000698,-12.329999999999927,-15.436999999999898,-17.332000000000335,-19.295999999999367,-22.01000000000022,-23.73199999999997,-25.967999999999847,-27.899999999999636,-30.31999999999971,-33.068999999999505
RAI,-2.495999999999981,-2.865000000000009,-3.6110000000001037,-4.033999999999992,-4.076000000000022,-4.326999999999998,-4.610000000000014,-5.1059999999999945,-5.314000000000078,-5.58400000000006,-5.6180000000001655,-5.926000000000158,-6.046000000000049,-9.486000000000104,-23.713999999999942,-22.843999999999824,-22.225000000000136,-21.582999999999856,-20.652000000000044,-20.011999999999944,-19.333999999999833,-18.59900000000016,-17.99200000000019,-17.58600000000024,-12.023000000000138,-9.523000000000138,-8.25,-3.0300000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0769999999997708,-1.6400000000003274,-2.4159999999997126,-2.4909999999999854,-3.0720000000001164,-3.1280000000001564,-3.5960000000000036,-4.69399999999996,-4.99199999999928,-6.648000000000138,-6.483999999999469,-5.27599999999984,-9.966999999999643,-2.030999999999949,-0.8419999999996435,-9.974999999999454,-2.0640000000003056,-3.1080000000001746,-1.2340000000003783,-2.188000000000102,-3.382999999999811,-3.498000000000502,-4.022999999999229,-4.170000000000073,-5.002999999999702,-5.161999999999352,-5.644000000000233,-6.313999999999396,-6.731999999999971
BOT,-1.1510000000000105,-1.5640000000000782,-1.9080000000000155,-2.3700000000000045,-2.423000000000002,-2.7770000000000437,-3.1620000000000346,-3.4579999999998563,-3.8580000000001746,-3.8220000000001164,-3.5850000000000364,-3.4809999999999945,-3.4960000000000946,-3.591000000000122,-3.4579999999998563,-3.5249999999998636,-4.065000000000055,-4.5629999999998745,-4.667999999999893,-4.607999999999947,-4.442000000000007,-4.375999999999749,-4.63799999999992,-5.010000000000218,-1.23700000000008,0.0,0.0,0.0,-11.38799999999992,-11.192000000000007,-11.0,-10.608999999999924,-9.666000000000167,-8.73299999999972,-7.936999999999898,-7.470000000000255,-7.8979999999996835,-8.70199999999977,-7.484999999999673,-7.568000000000211,-7.438000000000102,-7.541000000000167,-7.4520000000002256,-6.766000000000076,-5.73700000000008,-6.858999999999924,-7.846999999999753,-8.282000000000153,-7.72400000000016,-6.410999999999149,-9.00799999999981,0.0,-12.854999999999563,-9.15899999999965,-1.1700000000000728,-1.217000000000553,-0.4210000000002765,-1.381999999999607,-2.292000000000371,-2.2899999999999636,-2.8299999999999272,-2.605000000000473,-3.8339999999998327,-3.8109999999996944,-3.774000000000342,-4.024999999999636,-4.5349999999998545
GRO,-6.117999999999995,-9.090000000000032,-11.642000000000053,-13.989000000000033,-16.067000000000007,-17.995000000000005,-21.064000000000078,-23.908999999999878,-25.996000000000095,-28.080000000000155,-29.700000000000045,-31.552000000000135,-33.96499999999992,-35.702999999999975,-37.641999999999825,-39.45499999999993,-41.19400000000019,-42.76999999999998,-43.70699999999988,-44.90800000000013,-49.472999999999956,-66.6579999999999,-66.98399999999992,-67.41100000000006,-64.26699999999983,-63.01999999999998,-63.077999999999975,-59.57600000000002,-55.98000000000002,-58.30600000000004,-59.639000000000124,-60.77500000000009,-61.6869999999999,-61.89300000000003,-62.365999999999985,-62.94200000000001,-64.0029999999997,-64.9409999999998,-65.20599999999968,-66.72299999999996,-68.17399999999998,-69.36599999999999,-70.3409999999999,-72.0619999999999,-74.17000000000007,-75.03099999999995,-76.65699999999924,-79.32499999999982,-84.83899999999994,-97.48199999999997,-118.4380000000001,-140.46599999999944,-137.4399999999996,-116.05299999999988,-72.77000000000044,-43.88000000000011,-8.097999999999956,-11.679000000000087,-14.649000000000342,-16.610999999999876,-18.662999999999556,-20.449000000000524,-22.787000000000262,-24.298999999999978,-26.40399999999954,-27.574999999999818,-28.871000000000095
ERI,-10.593000000000018,-14.888000000000034,-17.828000000000088,-20.418999999999983,-22.543000000000006,-24.44500000000005,-26.38900000000001,-28.83699999999999,-31.885999999999967,-34.200000000000045,-35.91100000000006,-37.52500000000009,-39.759000000000015,-42.169000000000096,-44.608999999999924,-46.934999999999945,-49.66300000000001,-51.759000000000015,-53.29899999999998,-55.12000000000012,-57.361999999999625,-60.490999999999985,-61.971000000000004,-63.39000000000033,-60.67599999999993,-60.68600000000015,-61.583000000000084,-58.778999999999996,-57.49499999999989,-61.54800000000023,-63.98700000000008,-65.60300000000007,-68.08899999999994,-70.35999999999967,-71.96099999999979,-73.4659999999999,-75.48899999999958,-80.79399999999987,-95.19399999999996,-96.48500000000013,-98.33500000000004,-99.49699999999984,-100.73399999999992,-102.82400000000007,-104.54999999999973,-103.48900000000049,-103.82599999999911,-106.61399999999958,-110.72899999999936,-118.76399999999921,-132.41499999999996,-139.71199999999953,-136.1199999999999,-113.47599999999966,-68.1869999999999,-27.01600000000053,-6.106999999999971,-9.307999999999993,-12.359999999999673,-14.844000000000051,-17.40099999999984,-19.824000000000524,-22.271999999999935,-25.333999999999833,-27.320999999999913,-29.83299999999963,-32.36200000000008
