OCO,-8.322999999999979,-11.815000000000055,-14.5,-16.797000000000025,-19.49599999999998,-21.820999999999913,-24.0150000000001,-26.988000000000056,-29.60199999999986,-31.962999999999965,-33.812000000000126,-35.27299999999991,-37.01999999999998,-38.906999999999925,-40.103000000000065,-41.843000000000075,-43.02999999999997,-43.95199999999977,-43.965999999999894,-64.77700000000004,-61.91300000000001,-49.6569999999997,-52.0300000000002,-53.73700000000008,-56.22600000000011,-58.427000000000135,-60.4640000000004,-62.440000000000055,-64.41300000000001,-66.40700000000015,-68.50999999999976,-84.529,-98.89199999999983,-46.202999999999975,-10.690000000000055,-8.654999999999745,-4.338999999999942,-13.628000000000611,-7.868000000000393,-7.497000000000298,-4.3270000000002256,-7.582000000000335,-10.649000000000342,-11.590000000000146,-13.457999999999629,-15.800000000000182,-18.029999999999745,-19.8779999999997,-22.659999999999854,-25.407999999999447,-27.632000000000517,-29.91700000000037
VER,-4.073999999999955,-5.522000000000048,-6.75,-7.6749999999999545,-8.77800000000002,-9.336999999999989,-9.807000000000016,-10.25200000000018,-10.692999999999984,-11.162000000000035,-11.298999999999978,-11.336999999999989,-11.695999999999913,-12.101999999999862,-12.212999999999965,-11.613000000000056,-11.026000000000067,-29.90000000000009,-28.94399999999996,-28.822999999999865,-24.403999999999996,-11.253999999999905,-11.889999999999873,-12.227000000000317,-13.251000000000204,-13.41000000000031,-13.384000000000015,-13.820999999999913,-13.775000000000091,-14.31399999999985,-14.586999999999989,-14.925000000000182,-20.311999999999898,-11.764999999999873,-3.4909999999999854,-3.0900000000001455,-2.087999999999738,-4.570999999999913,-3.5780000000004293,-3.1030000000000655,-2.30199999999968,-2.436000000000604,-4.7479999999995925,-3.7770000000000437,-3.6580000000003565,-19.420000000000073,-10.96599999999944
SIR,-13.133000000000038,-19.563999999999965,-24.401000000000067,-27.881999999999948,-31.362999999999943,-34.60299999999995,-39.333000000000084,-42.37900000000013,-45.577999999999975,-48.97699999999986,-52.274000000000115,-55.97900000000004,-58.97799999999984,-62.09299999999985,-66.27999999999997,-68.80400000000009,-71.24300000000017,-73.0,-75.82000000000016,-78.36599999999999,-76.14199999999983,-85.26999999999998,-88.0010000000002,-90.80799999999999,-96.08100000000013,-100.64200000000028,-103.0930000000003,-105.23399999999992,-109.38500000000022,-113.51699999999983,-118.1909999999998,-150.46100000000024,-165.77099999999973,-155.03099999999995,-115.96600000000035,-70.69399999999996,-26.0649999999996,-44.014000000000124,-23.465000000000146,-14.795000000000073,-6.54700000000048,-13.963000000000648,-17.953999999999724,-20.121000000000095,-23.353000000000065,-26.769999999999527,-30.219999999999345,-33.23999999999978,-37.41599999999926,-41.448999999999614,-45.074000000000524,-48.100000000000364
HAM,-13.712999999999965,-17.55600000000004,-20.319000000000074,-22.384000000000015,-24.368000000000052,-24.78099999999995,-25.59699999999998,-25.756000000000085,-26.310999999999922,-27.477999999999838,-27.19399999999996,-26.523999999999887,-26.776999999999816,-26.630999999999858,-26.1579999999999,-25.027000000000044,-24.50299999999993,-23.08100000000013,-21.534000000000106,-20.94300000000021,-16.58100000000013,-3.4659999999998945,-5.835000000000036,-7.326000000000022,-8.497000000000298,-28.2800000000002,-27.307999999999993,-25.95699999999988,-24.373000000000047,-23.43399999999974,-22.355000000000018,-22.44900000000007,-33.016000000000076,-7.821999999999662,-2.544000000000324,-2.099999999999909,-1.6769999999996799,-2.8710000000000946,-2.600000000000364,-2.5820000000003347,-1.5590000000001965,-1.5440000000007785,-2.0380000000004657,-1.4470000000001164,-1.518000000000029,-1.6979999999994106,-2.6119999999991705,-2.143000000000029,-2.2189999999991414,-2.6119999999991705,-2.600000000000364,-2.2510000000002037
VET,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.99499999999989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5889999999999418,-1.606000000000222,-1.0090000000000146,-0.6610000000000582,-0.7750000000005457,-1.41399999999976,-0.9939999999996871,-0.7100000000000364,-0.5870000000004438,-0.7439999999996871,-0.6779999999998836,-0.6350000000002183,-0.7599999999993088,0.0,0.0,0.0,0.0,0.0,0.0
SAI,-8.852999999999952,-12.649000000000001,-15.29200000000003,-17.461000000000013,-20.498000000000047,-23.306999999999903,-26.617999999999938,-28.88700000000017,-31.4079999999999,-33.86199999999985,-35.73900000000003,-37.506999999999834,-39.43099999999981,-41.228000000000065,-43.527000000000044,-44.914999999999964,-46.39099999999985,-67.0329999999999,-67.40299999999979,-68.83199999999988,-66.29300000000012,-54.57499999999982,-57.00500000000011,-58.65000000000009,-60.50700000000006,-62.43000000000029,-63.76500000000033,-65.76199999999972,-67.5260000000003,-69.09799999999996,-71.44999999999982,-85.62400000000025,-116.30199999999968,-68.18299999999999,-20.370000000000346,-12.900000000000091,-6.1030000000000655,31.652000000000044
RAI,-5.133000000000038,-6.5049999999999955,-7.517000000000053,-8.433999999999969,-9.748000000000047,-10.231999999999971,-11.125,-11.592000000000098,-12.177999999999884,-12.905999999999949,-13.485000000000127,-13.791999999999916,-13.88299999999981,-42.567999999999984,-40.65499999999997,-39.28500000000008,-38.274999999999864,-36.05799999999999,-34.27799999999979,-33.947000000000116,-30.159000000000106,-15.866999999999734,-16.135999999999967,-16.427000000000135,-16.9050000000002,-16.92800000000034,-16.666000000000167,-16.911999999999807,-16.59800000000041,-17.192000000000007,-17.381999999999607,-17.65000000000009,-23.903999999999996,-16.197999999999865,-7.00400000000036,-4.454000000000178,-2.380000000000109,-5.885000000000218,-4.604999999999563,-3.95299999999952,-2.8530000000000655,-3.2150000000001455,-3.1270000000004075,-1.9830000000001746,-1.9960000000000946,-2.0339999999996508,-3.1019999999998618,-4.08600000000024,-4.268999999999323,-4.693999999999505,-4.068000000000211,-3.6390000000001237
BOT,-1.9320000000000164,-3.4740000000000464,-4.018000000000029,-4.525999999999954,-5.187999999999988,-5.322999999999979,-5.711000000000013,-5.629000000000133,-5.837999999999965,-6.087999999999965,-6.086999999999989,-5.830999999999904,-5.846000000000004,-6.059999999999945,-5.836999999999989,-5.212999999999965,-5.2309999999999945,-4.894999999999982,-4.402999999999793,-4.494999999999891,0.0,-4.474999999999909,-3.855000000000018,-3.3969999999999345,-3.6020000000003165,-3.5840000000002874,-2.923000000000229,-3.174999999999727,-2.8770000000004075,-2.41399999999976,-2.4489999999996144,-2.06899999999996,-7.692000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9549999999999272,-3.399999999999636,-6.266999999999825,-7.449999999999818,-8.238000000000284,-8.891999999999825
GRO,-11.608000000000061,-16.520999999999958,-19.854000000000042,-23.408999999999992,-26.585000000000036,-29.533000000000015,-32.42900000000009,-35.215000000000146,-38.307000000000016,-41.30899999999997,-43.51099999999997,-45.80899999999997,-48.23299999999995,-50.30199999999991,-51.35799999999995,-52.38599999999997,-53.401999999999816,-54.240999999999985,-55.177999999999884,-56.82900000000018,-54.139000000000124,-42.41999999999962,-44.471000000000004,-46.501000000000204,-48.73000000000002,-50.378000000000156,-72.17500000000018,-73.5329999999999,-74.95900000000029,-76.53600000000006,-78.15599999999995,-100.39499999999998,-115.40899999999965,-65.40499999999975,-19.29200000000037,-11.974999999999909,-5.9099999999998545,31.652000000000044
ERI,-12.004000000000019,-17.061000000000035,-21.291000000000054,-24.470000000000027,-27.793999999999983,-30.140999999999963,-33.103000000000065,-36.20900000000006,-39.401999999999816,-42.46399999999994,-44.84899999999993,-47.11799999999994,-49.32199999999989,-51.346000000000004,-52.64599999999996,-53.91800000000012,-55.34899999999993,-56.24800000000005,-56.88099999999986,-58.73900000000003,-56.24200000000019,-44.61999999999989,-47.04500000000007,-48.9369999999999,-68.98800000000028,-69.24099999999999,-70.91400000000021,-72.53999999999996,-74.16800000000012,-75.53099999999995,-77.41199999999981,8.380999999999858
